_id,choose_the_best_user_intent_for_the_post_gold,is_the_title_discriminative_gold,if_yes_does_the_intent_of_the_title_and_content_agree_with_each_other_gold,docid,title,content,forumid,
447489473,Can drugs or treatments X cause adverse finding Y?,No,,501774,Femara and dizziness," Hello, I've been on Femara for the last two months and have been experiencing severe dizziness. Not sure if it is from the Femara as I started taking other meds at the same time. If anyone has the same problem please let me know and also if this will ease up after a while on Femara. Thanks for your responses, and have a nice day, Elga",23,0.354775285
447472538,How should I manage or treat symptoms or conditions X?,No,,574373,Breast exams by family doctor, I don't have breast cancer anywhere on either side of my family. At what age is it appropriate for a family doctor to do breast exams during a physical?,23,0.526504371
447489674,How should I manage or treat symptoms or conditions X?,No,,651645,Help living with someone with depression," Hi there, I live with my very good friend. We have known each other for 5 years and lived together for 2 We have always got on very well and she informed me that she suffered from depression when we moved in together. She takes medication, and showed some mild symtoms of depression from time to time but I was aware of her situation always helped her through and eveything was fine untill about 5 months ago (same time as she started a new relationship) when she started to get quite bad. Something very small can trigger a huge reaction in her! I have witnessed her tearing her hair out slamming doors and screaming horrible things at me. I will give an example she has become extremely forgetfull and last week forgot to lock the front door when I discovered this I called her and said you forgot to lock the front door again. She went crazy screaming and shouting she went home from work in a state, said she was moving out because I am controlling her life - its like she really beleives that. She went home and stayed with her parents and then came home to tell me she had made the decision to move out. She then arrived home the following day as if nothing had happened and was very hyper all weekend. She says very nasty things to me during these episodes and I can usually put it aside and help her through but it is getting harder - this time I have not been able too, her doctor recently upped her meds bur this is making her vomit allot so I really don't think she is getting it. She thinks that this is all my fault and that I am using her condition against her whenever I suggest she get help. Her boyfriend is now also experiencing these mood swings but not as bad as I am. I am very worried about her as she was such a nice person and I now feel like I am living with a pubescent teenager. Whenever she has one of these episodes she goes to her parents but I do not think she is giving them the right impression of what is really happening. She spends most Saturdays and Sundays in bed (she has a full time job monday to Friday) She also smokes allot of weed and takes ecstacy every Saturday night. I have explained that someone with her condition should not take drugs but she doesn't listen and her drug use is gettting worse. I really don't know what to do I am not quailified to deal with this and am thinking of going to her parents as I suspect she isn't telling them what is really happening. Any advice would be great Thanks, Laurz",44,0.970096805
447489499,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,565669,Neti Pot: WHAT AM I DOING WRONG?," Hi I have used my neti pot mixing the salt that came with it to warm water, and right after I am done I get stuffed up most of the time only one side. once both. I followed the directions the water flowed out, I did the bending to release any fluid the minutes later I can't breath",10,0.179470582
447489276,"What is the cause of symptoms, conditions, or test findings X?",No,,821005,A Confused Girl," I guess I'll tell you upfront, I happen to be a teenager and possibly all these feelings are temporary. Perhaps, but not likely. If you're feeling up to it, feel free to read a bit on me. If not, that's fine as well. Scroll down for the start of depression, maybe you can assist me. The paragraphs below that are in italics aren't all that important. I think. I'm not exactly sure how this all started. My life was pretty normal. My parents were loving, my little brother adored me and things were picture perfect. Of course, my dad would sometimes threaten to hit me with a belt at times, but stuff like that was normal. But somehow, it wasn't, and it stuck to me for a while to be afraid of him. Now, I suppose I was around eight when I began to show symptoms of OCD. If something didn't feel right the first time, (ex. walking on square tiles, touching objects), I would have to repeat this over and over until it felt right. Well, this I could handle. It didn't exactly disrupt my daily life. But then things became worse. My brother began vomiting every time he ate something. I was horrified. I blamed it on germs. Thus, the day to day wars began. I started to refuse food, due to germs being on them . This went on for a few months before my dad, finally fed up with me, slammed down half a granola bar on the table before. Eat, he roared. Just eat this much. I couldn't. I sat there for a very long time. My dad admitted defeat when I started bawling. I was sent to the hospital for a few days, hooked up to a IV. And that was the end of the OCD phase of my life. Next came DEPRESSION. Yes, I became suicidal. Yes, for some reason I talked about my plans with my therapist and he consulted with my mother. I was sent to a Mental Institute. I gave them all the information they asked for and I was sent out after a mere nine days. They told me to go to a school so I would be able to socialize with people in my age group. Please note that I was homeschooled my whole life and being sent to school at age thirteen was quite a change. **Important** My first few weeks was pretty challenging. I was used to conversing with adults, not people in a middle school. Things soon changed for the better, and I was actually quite the star. I befriended everyone in the middle school (Though, quite small) and I actually felt happy for a while. I even made a best friend. I'll keep her name private and nickname her Clarissa. Clarissa was everything I wasn't. She was girly, loud, outgoing and somewhat pretty. I loved Clarissa, we went everywhere together. We talked about everything. I trusted her with my life. You probably know where this is going, right? Betrayal. I was in shock. From there on, I cut myself away from the world. No, I was so afraid of the world, I thought if I just ignored it, it would get better. After a couple years of social isolation, it did get better, and I made yet another friend. During the summer, we did everything together. I was happy to the point of bursting. Then school came along. The pressure of being an honor student was beginning to get to me. The feelings of being alone in my classes was at its highest. My teachers would have to force people to group with me, and in the groups I was in, I was always ignored. I began to wonder what I was doing wrong. Did I not seem friendly? Did I look that much appalling? Maybe I had to take the first step. Oh, how I tried. Attempt after attempt. Failure after failure. I lost hope. I gained yet another bump in the road: Social Phobia. My depression ate off of this ailment and it enjoyed every taste of it. This brings us to the PRESENT. I cry whenever I see others happy, when I see others in love, when I see people in groups. Sometimes the tears well up all on their own for no apparent reason. (It's probably just the constant loneliness). My best friend, lets call her Ali, always talks about her significant other. One day I just snapped and walked off, crying silent tears. For a while now, I feel no happiness, no feelings of love. None of the good feelings. I don't know whats wrong with me, maybe you can assist me and figure out whats up with me. I suppose I am just an idiotic young girl, but it feels nice to let off some steam. Thank you for your time.",44,0.773491817
439158254,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,698330,has anybody here suffered with depression for years and has recovered??, I am nineteen years old and I was first diagnosed with depression at the age of fourteen. Throughout five years of treatment the reason for my depression is still a mystery. I think I was just born like this. My life has got better and it is bearable the majority of the time. The only problem is at least once a week I get extremely suicidal. I always get through it but I know the same feelings are going to come back. I am now at the stage that I am scared I wont be able to go through much more of this. If anybody has experienced something like this and has some advice i would love to hear from you.,44,0.682770512
447472401,How should I manage or treat symptoms or conditions X?,No,,566383,"New here just had a lumpectomy now facing chemo, radiation"," I would like to know some info, they told me I could take an intense dose of chemo for 6 sessions every three weeks with Cytoxin, Adriamyicin and 5 FU, then tamoxifen for 5 years and nuelasta to build white cells. OR I can go a less intense chemo for 9weeks, once a week without the Adriamyicin. I have clear margins, no lympnode involvement and ER positive, Progesterone Negative. I lost my husband a year and a half ago, my only son is in DC a Marine. My 75 yr. old mom with dementia lives with me. Not any family help available here for me either. Does anyone have any info that will help me decide what to do.",23,0.962138648
447489399,How should I manage or treat symptoms or conditions X?,No,,637830,turbinates," Since no spray, drops , or steroid tablets have shifted my swollen tissue in nose, is surgery my only hope of releive in this situation.The operation i have read about is the submucosal resection an incision about 1 cm at the front end of turbinate, Through the incision he/she carefully snips away outer 2mm/3mm of turbinate bone and some surrounding tissue, but leaving much of the turbinate bone.The result is that the overall size of the turbinate is reduced-permanently because bone has been removed - but the mucosal surface is left intact and theres enough turbinate left to humidfy and filter your air.The procedure is more expensive and has longer recovery but better long time result.Anyone had this done what was result how did you feel after. Big worry is that my swollen tissue is STRESS, related and by having operation will not make a difference. My life has stopped around this issue since june this year, family , work etc all effected, i must get to end of tunnel before it kills me. andrew",10,0.080792632
447472070,How should I manage or treat symptoms or conditions X?,No,,724190,how do you know if a breast lump is moveable are fixed to the tissue, how do you know if a breast lump is moveable are fixed to the tissue,23,0.472664253
447472509,How should I manage or treat symptoms or conditions X?,No,,672004,Wellbutrin and Throat Problem," I recently began taking Wellbutrin SR (150 mg) after taking Prozac for @ 6 months. I switched to Wellbutrin because I'd started having the sensation that something was stuck in my throat on the Prozac and my doctor thought a switch might help. I stopped taking anything for about 5 days and the sensation went away, but I took my Wellbutrin this morning, and now I can feel that lump in my throat again. Has anyone else experienced this - and if so, what did you do - just stop taking SSRI's altogether?:eek:",44,0.775627163
447489248,How should I manage or treat symptoms or conditions X?,No,,568805,mastectomy/reconstruction, Has anyone had recontructive surgery? I am having a mastectomy and thinking about doing the flap for reconstuction. Would like to know what to expect the day of and days after. any help?,23,0.427375059
447472330,Can drugs or treatments X cause adverse finding Y?,No,,732716,chemo and thyroid, Has anyone ever been diagnosed with hypo thyroid after chemo and radiation? My TSH 3rd generation just came back extremely high at 42! I am wondering if chemo can tax the hormones like this.,23,0.405590174
447489287,Can drugs or treatments X cause adverse finding Y?,Yes,Yes,521361,Anyone have problems with medport?," Hi everyone, I hope things are going well with all of you. Has anybody or do you know of anybody that has had a problem with their med port catheter breaking? I am just home from the hospital, because of that happening to me. The catheter from the port broke of and a piece of it moved in to my heart. I won't go into all the gory details but that piece and the port is removed now. The surgeon that put in the report said that I was the third patient in a month that has had this happen. Two were her patients and one was her partners patient. My sister heard from a friend of a 17 year old that had the same thing happen just this week. So I am wondering how many others have been through something like this. Hope everyone has a good day. Phyllis",23,0.123348382
447489612,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,716499,left arm and middle back pain, i am 30 years old and having left arm and middle back pain. It comes and goes from upper mid and lower arm.,65,0.380417068
439158245,How should I manage or treat symptoms or conditions X?,No,,826513,scared," hello there hope everyone is doing well during this busy holiday season,ive been ok but im starting to get nervous.I just dont want this holiday to end up like last years and i really am trying not to think about it but i fear im going to wear my self out and go off the wall again.and i really dont know what to do.I go see my doc in a few weeks and i want to tell him. but i also dont want him to think the lexapro isnt working because it is i havnt felt this good in a long time.Please some advice thank you so much;)",44,0.952951359
447489292,"What is the cause of symptoms, conditions, or test findings X?",No,,712719,mammogram results, What does it mean if your mammogram results are that both breasts are denser than they were on the last mammogram. Then spot mammograms were done and I was told to come back in 6 months.,23,0.690613578
439158281,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,570660,"Zyrtec will be over counter as of Jan. 24, 2008"," Just got a notice from my health insurance company stating that Zyrtec will no longer be by prescription, it is going over the counter as of January 24, 2008.",10,0.293095235
447489394,How should I manage or treat symptoms or conditions X?,No,,451199,allergies and blood test...," Hey everyone! I posted this before on the wrong board. My question is, on a CBC (complete blood count) panel, have you ever noticed that your Eosiniphils was a little high? Mine was a bit high and the nurse said that it was due to allergies but the funny thing was, when I went in for this, I wasn't having any problems with my allergies. Do you suppose that a blood test can tell someone that they have allergies if they aren't having a flare up?",10,0.558164628
447489416,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,393842,Chrome allergy, Hello! I recently found out that I am allergic to potassium dichromate. This is what is used in tanning most leather. I was told I needed to wear shoes that have not been tanned with chrome... but I am having an extremely hard time finding good shoes like this. I am trying to find anyone else who may have this chrome allergy. Thanks so much!,10,0.728867852
447472318,"What is the cause of symptoms, conditions, or test findings X?",No,,421903,circulation," can allergies cause circulation problems, or feel like your arms and/or legs arent getting enough circulation? just wondering since i have the worst sinuses and i feel like my circulation is cut off alot, i have gotten a stress test and echo for it and its all fine so just wondering.....",10,0.045961609
447489384,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,871244,"Zero Calcium score, minor soft Plaque"," Hi Folks, First time poster here. Have very limited knowledge in this area. There is so much expertise and knowledge here that i can surely benefit. All opinions/suggestions are welcome. Had a 128 Slice CT angio done. Images were extremely good. Had a zero calcium score. It was zero 5 years ago as well. But this time, very minor soft plaque was discovered but no blockages or stenosis anywhere. All neck artereries were also clean in the echo I had done as well. My total lipids/HDL ratio is 2.93. My consultant wants to bring the ratio near to 2 or lower so has increased my lipitor to 40mg. he believes he can regress the soft plaque. Have very well controlled hypertension. Opinions on what this tells me of CVD/CHD profile over the next few years will be really appreciated. Am kind of stressed with the soft plaque, talhough was told it was minor in the extreme. God Bless Bushrose",65,0.770201554
447489611,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,885534,ECG short pr interval," Hi there, I posted a few weeks ago about abnormal ecg results. I now have a bit more information, and was looking for some opinions. Im 37, and have had palpitations on and off for years, not bothersome, and I usually put it down to thyroid, or anaemia, hormonal, stress etc... all of which I have bother with sometimes(well, thyroid controlled now, did have RAI for graves disease 7 years ago and on thyroxine now). Anyhow, went for an ecg 3 weeks ago, came back as normal sinus rhythm with short pr interval. My GP emailed ecg to cardiologist, who replied saying it wasnt an av junctional rhythm as p waves normal and to get a 24 hr holter and if that didnt show anything up an event monitor. I have looked things up on internet, bad move, and am terrified I have something like WPW. Cardiologist never mentioned this, and I told GP was worried about this and she said if had been things wouldve been moving a bit quicker etc... so it seems they are not worried about that, but Im still scared as they have never said that is ruled out because such and such... Ive never had a fast heart rate, well, apart from with bother with my thryoid years ago, and occasionally if have a panic attack, which is rarely these days, and no other symptoms apart from palpitations that last a few seconds, maybe a couple of days a month, usually at hormonal times in cycle. Im waiting on 24 hour tape, see what that says, but I just feel so worried about it, Any advice, reassurance?! Thanks, H",65,0.284441019
447489352,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,737401,Allergic to Prevacid 24hr," My DH developed hives all over his body(neck down). We changed washing powders soaps etc. Still had the problem. He was taking Prevacid 24hr for his Acid Reflux. I told him that it could be the Prevacid. He stopped taking it for a few days, and now the rash is going away. Just wanted to share. He was quite miserable.;)",10,0.380481514
447489380,"Combination (&gt;2 of manage, cause, or adverse findings).",No,,13073,Sulfa Allergy," I took a Sulfa antibiotic to treat acne for 8 days, and yesterday I broke out in a rash that spread all over my body and face. The rash is worse today; I stopped taking the medication yesterday. Does anyone know how long it will take before the rash goes away? Is there anything I can do to make it go away faster?",10,0.810289849
447489489,"What is the cause of symptoms, conditions, or test findings X?",No,,651889,"My daughters lip randomly swells, and gets a few hives"," My 11 year old daughtercame to me about 3 weeks ago w/ one corner of her upper lip all swollen, she had a few hives/welts on the inside of her upper arms, and a few on her back, and between her legs. I gave her a benedryl, and w/in a few hrs , everything ceased. It has now happened 3 more times and its driving me crazy. I cannot figure out what is the matter, and totally cleaned out her room, but we do have 3 dogs and 8 cats which worries me, but I cant keep having her come home from school( its happened there 2 of the times) and I feel sooo bad for her. help!!!! By the way , the lip get NO BUMPS, it just swells and goes down. I am a homeopathic person, but cant get an appt for awhile, and of course desperately want a answer.",10,0.435935856
447489501,"Combination (&gt;2 of manage, cause, or adverse findings).",No,,263793,Anyone else experienced this?," Hi everyone :wave: , A few months ago,I ate shrimp at my mom's and proceeded to get itchy,a little bit swollen lips.This lasted about a half hour to an hour,and was not that severe.Last week,I ate one bite of shrimp and also got very itchy,swollen,red lips.Since then,they got blistered looking and very painful(like a severe sunburn).Now they are extremely red and painful.This has been lasting for like a week now.I have no other symptoms.Sounds like I'm allergic to shellfish,right?I have eaten crab and shrimp in between these incidents and been fine!If anyone knows what I can do to relieve this lip pain,please let me know!Thanks,Sarah",10,0.79357935
447489317,Can drugs or treatments X cause adverse finding Y?,Yes,Yes,846406,How long did you feel pain after Angio stinting?," And did it resemble any of your pre-op discomforts? I had 95%+ blockage so receied the balloon and stint 5 days ago. A lot of mid chest pain for the first couple of days and then improvement. One thing I noticed was that a lot of the aches I had felt around my chest that I was certain were GI seem to be heart related and are simply gone. I seem to have made this error in self diagnosis going back at least a year and maybe much longer, supported by my MD. The bottom line is the the bruised stepped on pain I felt right after the procdure is all but gone. There was a flu like feeling for a day of two and right now I seem to have similar to pre-procedure discomforts. A burning discomfort in chest above and slightly right of the sternum reappeared last night. It is almost like the pain cause by the blockage is back, but that should be impossible this early. I am now on Plavix, baby Aspirin, and Cresteril. Energy is pretty good, and I am not swetting or exhibiting any other medical signs. Can stint pain mimic blockage pain? What kind of discomfort would Plavix cause? Is it normal to feel these stabs and minor discomforts for a while yet?I am to see my Dr in a few days and I am sure he wil have lots of informations but he has not been stinted so I am wondering if some of your can relate. Thanks for any responses.",65,0.223716578
447472602,"What is the cause of symptoms, conditions, or test findings X?",No,,236554,"angioedema, allergy tests"," Hi Where to find info on angioedema? My name is Angel. I've just been diagnosed with angioedema. My throat swells up after eating multi-various foods. I don't know anything about this condition and have looked on the internet for a support group/association for angioedema, to get some reliable written info to show my GP, who is clueless, but I haven't been able to find anything. Anyone know who to contact? I am sure it is food related. But the 'allergy specialist' says it is fine to continue eating what I like, though my tongue might 'swell up the size of a golf-ball', but not to worry, because it's not dangerous. Surely this can't be right! I had the allergy tests -which apparently showed I'm an 'allergic person' but have 'no clinical allergies'. What does that mean??? I was still taking antihistamines just before the tests. Any advice, comments, experiences would be greatly appreciated. ((((Thankyou))))",10,0.910545613
447489443,"What is the cause of symptoms, conditions, or test findings X?",No,,549436,Normal Mammography but want Ultrasound," I have fibrocystic breasts. I have had one cyst that i have watched since i was 21, im now 42. Just changed gynocologists and of course she wanted to do a complete exam. I told her that about the fibrocystic breasts and the cyst. I also told her I was due for my period. She decided she wanted to do the exan anyway. Of course she felt the lumpiness as well as the cyst and because i was due for a mammography she ordered one along with an ultrasound. I had the mammo done on Monday, nothing abnormal, but because they can feel the cyst they still want me to have the ultasound. I have had 2 mammographies for this in the past, nothing abnormal has shown. Does anyone know why they would want an ultrasound on something that i have had for 21 years and that doesnt show on a mammography? I have been dealing with another cancer scare and just dont have the energy to worry about anything else right now. Especially something that i have had for so long. Thanks ~Lisa",23,0.034853896
447472547,"Combination (&gt;2 of manage, cause, or adverse findings).",No,,13166,Allergies causing clogged ear? Help with MEDS!," I have been doing some research today. And alot of it has been pointing to allergies being the reason that my ear is clogged. That perhaps my sinuses are not draining properly? My ear gets so much pressure in it that it feels like the right side of my face is paralyzed. It gets clogged and I get sick it seems like every few days. I do have some meds which contain antihistimes. But do you think that will help? I know that I have allergies to ragweed, mold, dust and different trees...but I don't have any of the classic symptoms. Sneezing, runny nose, watery eyes..etc..) Just a ton of congestion and tired and weighted down feeling. I am doing the nasal irrigation and breathing in steamy water from a bowl with a towel over my head. Also, I quit smoking a few days ago. I tried allegra..didn't like the side effects of it. Same with Claritin, Clarinex and forget about any nasal sprays with steroids. Anxiety attacks galore! So, any suggestions or any other OTC meds I could try? I am also sensative to Sudafed and it doesn't help me much anyway.",10,0.493893737
447489251,How should I manage or treat symptoms or conditions X?,No,,747590,psvt in an 11 year old child, What tests should an 11 year old child have in order to asses the cause of PSVT,65,0.918310118
447489487,"Combination (&gt;2 of manage, cause, or adverse findings).",No,,707185,Feeling really depressed and can't overcome it.," I've read so much things on the internet on how to overcome depression. From going out to taking drugs. I'm only 18 and I really need help. Every little thing makes me feel anxiety and depressed. Even if something happens on a show that I dislike, or something like a test coming up. I've tried turning to friends, but none of them understand. I've tried to be active and live normally, but it always hits me again and I feel it. I'm sure it is anxiety and depression. I'm not sure if it's just adolescent things but I really need help. I've tried everything, I searched high and low on the internet and nothing. I have tried to be more positive about everything but all these thoughts keep hitting me. I've tried talking to family and it is to no avail. I'm listening to everyone of them. I'm unsure of what to do, please if there is anything someone can say to me that'll help.",44,0.165094045
447472607,"What is the cause of symptoms, conditions, or test findings X?",No,,860309,Male Breast Cancer," I've found a little pea sized lump in my left nipple. It hurts a little when i touch it but it's not visible. I've had it for a while (probably more than a few months). The thing is, I'm a 15-year-old boy which is what makes me think its not cancer, because breast cancer for males is very uncommon by itself, but with me being 15, too, makes it a lot more unlikely. I'm not too worried by it but i thought i would just post it on this forum to see if someone could tell me if it was something else...",23,0.181700841
447472350,Can drugs or treatments X cause adverse finding Y?,No,,826254,Ect.," I have been battling depression for as long as I can remember. Even has a child. Nothing has worked. I've taken pretty much every medication out there, been in therapy for 9 years, I've done Day Treatment, been IP three times. I cry several hours a day...I attempted suicide in March and I'm so afraid that I will get to that point again. It's getting harder and harder to pretend to be happy around people. I bought up ECT with my therapist and *he laughed* Apparently he is against it...but I'm desperate. Something needs to be done before I end up killing myself. I don't know what to do. I've called around to several hospitals in my area and I've found two places that do it but they say I need a referral from my psychiatrist...I don't know if she will do it. I last saw her about three months ago and she was talking about dropping me b/c my pulmonologist prescribed me klonopin for severe insomnia that is raising my blood pressure dangerously high and putting stress on my kidneys. (I only sleep 1-3 hours a night...I'm sure that is adding to the depression. It's been an issue since childhood as well.) I was just wondering if anyone has received ECT treatments and if they worked, were there any side effects...and has anyone had problems getting it prescribed? I don't know what to do.",44,0.55288371
447489238,"Story telling, news, sharing or asking about experience, or soliciting support.",No,,712154,Could use some support if there's anyone out there," I could really use some support. I was diagnosed with Bipolar II after being hospitalized two years ago today. Since then I have gotten divorced and found a new girlfriend whom I loved so much. Unfortunately, during a fight over something stupid I lost control and did some things that I can't take back and that I will always regret. We're trying to remain friends, but it is stressful and really hard. I have no other friends. I'm trying to rekindle a relationship with some close friends from when I was married, but that is not working well. I can't talk to my family; we just aren't close enough to talk about these things. I couldn't even talk to them about what was going on while I was hospitalized. Now, I'm losing hope. I have no job (that is unrelated to my bipolar), no friends, I can't even see my kids. So I'm just asking for a few people to give me some support, however you can. Thanks a lot.",44,0.938124836
